Ticker,longName
BBAR,Banco BBVA Argentina S.A.
BIOX,Bioceres Crop Solutions Corp.
BMA,Banco Macro S.A.
CEPU,Central Puerto S.A.
CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria"
DESP,"Despegar.com, Corp."
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima
GGAL,Grupo Financiero Galicia S.A.
GLOB,Globant S.A.
HARG.BA,Holcim (Argentina) S.A.
IRCP.BA,IRSA Propiedades Comerciales S.A.
IRS,IRSA Inversiones y Representaciones Sociedad Anónima
JPMB,JPMorgan USD Emerging Markets Sovereign Bond ETF
LEDE.BA,Ledesma Sociedad Anónima Agrícola Industrial
LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima
MELI,"MercadoLibre, Inc."
MIRG.BA,"Mirgor Sociedad Anónima, Comercial, Industrial, Financiera, Inmobiliaria y Agropecuaria"
MOLI.BA,Molinos Rio de la Plata S.A.
PAM,Pampa Energía S.A.
SUPV,Grupo Supervielle S.A.
TEO,Telecom Argentina S.A.
TGS,Transportadora de Gas del Sur S.A.
TS,Tenaris S.A.
TX,Ternium S.A.
VIST,"Vista Energy, S.A.B. de C.V."
YPF,YPF Sociedad Anónima
^GSPC,S&P 500
HGLD,Patagonia Gold Corp.
MRVSY,Minerva S.A.
ARCO,Arcos Dorados Holdings Inc.
AUMN,Golden Minerals Company
LMSQF,Latin Metals Inc.
AGRO,Adecoagro S.A.
CRDOF,Cerrado Gold Inc.
PMMCF,Pampa Metals Corporation
LXENF,Lithium Energi Exploration Inc.
GARWF,Golden Arrow Resources Corporation
ABBRF,AbraSilver Resource Corp.
LISMF,Lithium South Development Corporation
MDSQF,Minsud Resources Corp.
FSM,Fortuna Mining Corp.
TBXXF,Turmalina Metals Corp.
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF
